date,open,high,low,close,volume,increase,increaserate,change,PE,PB,A-index,communicaiton-index,label
2020/3/2,3.662515359,3.88443463,3.594139997,3.951465318,3.136444874,6.429083198,3.24540194,2.947907628,-0.405815546,-2.321746914,0.768347981,1.925670249,1
2020/2/28,3.235910173,3.420779232,3.340555896,3.408573261,1.80056158,-2.077934673,-1.053524179,1.648895682,-0.405815546,-2.321746914,0.768347981,1.672462208,0
2020/2/27,3.561789135,3.610877945,3.434744276,3.583242879,1.894230643,0.734418274,0.340336279,1.739947063,-0.405815546,-2.321746914,0.97820204,1.915316583,1
2020/2/26,3.84026752,3.760406811,3.594139997,3.520692272,2.763726617,-5.827738603,-2.717427078,2.585476626,-0.405815546,-2.321746914,0.968012405,1.932807094,0
2020/2/25,3.508463486,3.897185154,3.421461299,4.011655524,4.033016361,6.988755426,3.522386803,3.819810272,-0.405815546,-2.321746914,1.086162103,2.180508145,1
2020/2/24,3.093708444,3.317615906,3.195650695,3.421555462,1.549924295,6.373115975,3.534135519,1.405112951,-0.405815546,-2.321746914,1.064107444,1.995706651,1
2020/2/21,2.833005274,2.904962601,2.851500842,2.883384205,1.174190186,1.33606592,0.736481597,1.039744807,-0.405815546,-2.321746914,1.005536027,1.712130517,1
2020/2/20,2.728724006,2.73688752,2.775425612,2.770084993,0.987564364,1.266106891,0.711702488,0.858253949,-0.405815546,-2.321746914,0.957818264,1.597655735,1
2020/2/19,2.654068099,2.847005677,2.728331421,2.662686782,1.420669851,0.202729657,0.092687602,1.279427778,-0.405815546,-2.321746914,0.868580106,1.525551858,1
2020/2/18,2.578227177,2.554902776,2.581011133,2.64498378,1.346932568,0.566516606,0.308507942,1.207712577,-0.405815546,-2.321746914,0.891396617,1.537502696,1
2020/2/17,2.264198359,2.540993114,2.287578101,2.596595575,2.302808179,5.099861656,3.26231297,2.13725662,-0.405815546,-2.321746914,0.845109445,1.467857463,1
2020/2/14,2.187172422,2.165432241,2.212710414,2.16582253,0.573994227,-0.342950765,-0.245176967,0.456110347,-0.405815546,-2.321746914,0.718127756,1.271237362,0
2020/2/13,2.206132653,2.209479504,2.216333044,2.194147333,0.684852246,-0.608795074,-0.411403487,0.563927911,-0.405815546,-2.321746914,0.700508831,1.273332088,0
2020/2/12,2.210872711,2.180501042,2.251351801,2.244895938,0.490410678,0.174746046,0.085673975,0.374849437,-0.405815546,-2.321746914,0.731282414,1.307417739,1
2020/2/11,2.274863489,2.250049351,2.277917755,2.229553337,0.335644784,-0.161057291,-0.12761861,0.224320944,-0.405815546,-2.321746914,0.669927051,1.255691459,0
2020/2/10,2.068670982,2.231503135,2.122144664,2.242535538,0.87956938,1.657877451,1.058289588,0.753251146,-0.405815546,-2.321746914,0.66830766,1.255322578,1
2020/2/7,2.107776457,2.06574633,2.07384293,2.102091723,0.761116049,-0.412909794,-0.293239893,0.638090729,-0.405815546,-2.321746914,0.620899272,1.221575934,0
