y	y_pred
33.69	35
34.53	37
33.88	36
32.61	34
33.2	36
32.01	34
31.81	33
32.15	33
32.87	35
32.9	35
32.96	35
32.05	34
32.01	34
32.16	34
32.53	35
31.98	34
32.16	34
32.32	34
32.2	33
33.35	35
33.64	35
33.74	36
33.23	35
33.4	35
34	36
34.48	37
34.24	37
33.22	35
33.33	35
32.85	35
32.37	34
32.49	34
32.56	34
32.77	35
31.34	33
31.36	32
31.89	34
31.36	33
31.09	32
30.7	32
30.41	31
30.4	31
30.46	31
30.65	32
30.71	32
30.57	32
30.67	32
31.18	32
31.95	33
31.91	34
31.6	33
32.08	34
31.85	33
32.85	34
33.2	35
33.55	35
33.59	35
34.25	36
34.49	37
33.37	36
32.26	34
33.12	35
33.75	36
33.9	36
33.64	35
34.35	36
35.39	34
35.45	34
36.55	35
36.7	35
36.6	36
35.71	34
37.02	36
37.36	36
37.96	37
36.71	35
36.92	35
37.41	36
38.84	38
40.06	40
38.61	38
40.65	41
39.17	40
35.91	34
38.37	38
38.2	37
39.22	39
38.93	38
40.12	40
40.01	39
40.14	40
39.71	39
39.47	39
43.12	43
43.53	44
43.68	44
44.59	45
45.55	46
50.11	50
55.11	55
50.95	51
51.48	51
50	50
	18
	18
