y	y_pred
17.19	17
16.82	16
16.93	16
17	16
17.44	17
17.5	17
17.4	17
17	16
16.85	16
16.54	16
16.42	15
16.92	16
16.47	16
16.62	16
15.99	15
15.59	14
15.69	15
15.63	15
15.48	14
15.48	14
15.19	14
15.61	15
15.3	14
15.27	14
15.29	14
14.79	14
14.55	13
14.3	13
14.33	13
14.37	13
14.77	14
14.31	13
14.55	13
14.77	13
14.69	13
14.95	14
14.89	13
15.07	14
14.96	14
14.45	13
14.61	13
14.45	13
14.36	13
13.96	12
13.98	12
14	12
14.21	13
14.02	12
14.23	13
13.81	13
13.05	11
13.03	11
13.33	12
13.02	12
11.72	10
11.39	9
11.06	9
11.22	9
11.28	9
11.44	10
11.46	10
11.26	9
11.34	9
11.48	10
11.39	10
11.41	10
11.45	10
11.25	9
11.27	9
11.29	9
11.55	10
11.48	9
11.77	10
11.55	10
11.31	9
11.49	10
11.35	9
11.4	10
11.17	9
11.1	9
11.26	9
11.2	9
11.22	10
10.9	10
10.01	8
9.78	8
9.64	7
9.97	8
9.92	8
9.85	8
9.59	8
9.66	8
9.9	8
10.3	8
10.48	8
10.5	8
10.57	8
10.76	9
10.78	9
10.31	8
10.09	8
10.27	8
10.07	8
10.2	8
10.64	9
10.48	9
10.31	8
10.58	8
11.16	9
11.45	10
11.4	9
11.41	10
11.07	10
10.5	10
9.45	8
9.05	7
9.06	7
9.19	7
9.06	7
9.04	7
9	7
9.03	7
8.95	7
8.77	7
8.85	7
8.71	7
8.28	6
8.46	6
8.47	6
8.59	7
8.53	7
8.56	7
8.41	6
8.5	6
8.65	7
8.43	6
8.5	7
8.25	7
7.99	6
8.03	6
8.04	6
8.13	6
8.04	6
8.11	6
8.02	6
7.78	6
7.8	6
7.82	6
7.75	6
7.64	6
7.8	6
8.14	6
8.18	6
8.38	6
8.42	7
8.31	7
8.25	6
8.19	6
8.6	7
8.77	7
8.63	7
8.62	7
8.73	7
8.63	7
8.59	6
9.01	7
9.24	7
