date,open,high,low,close,volume,increase,increaserate,change,PE,PB,A-index,communicaiton-index,label
2019/12/31,1.714463374,1.835325776,1.772658638,1.807365463,1.468128008,1.512935916,1.048861936,1.321340238,-1.231182642,2.649028525,0.625625334,1.209613389,1
2019/12/30,1.56395768,1.635896244,1.620334211,1.679236839,0.572968651,1.034191416,0.723837119,0.450549354,-1.206558554,2.499740941,0.604564095,1.177233933,1
2019/12/27,1.641677833,1.593593009,1.656841718,1.591764412,0.165549955,-0.373027265,-0.295998685,0.054213622,-1.189762119,2.397911584,0.569794796,1.148641686,0
2019/12/26,1.613303809,1.565793741,1.650547321,1.623796568,-0.169186245,0.221776507,0.133327522,-0.271345668,-1.195835097,2.434728605,0.595649388,1.19247627,1
2019/12/25,1.508443284,1.585132363,1.572496788,1.605316478,0.504461423,0.918132143,0.649979118,0.384092312,-1.192286665,2.413213173,0.568311748,1.18354818,1
2019/12/24,1.444293316,1.467891971,1.493187375,1.5277001,0.222549745,1.251802552,0.92060277,0.109810461,-1.177385594,2.322879426,0.553828468,1.142328948,1
2019/12/23,1.529415389,1.452179341,1.494446255,1.421747583,0.335169587,-1.606157038,-1.20302738,0.21939979,-1.157040727,2.19961231,0.502447712,1.081385268,0
2019/12/20,1.665117245,1.621392278,1.636699645,1.55850025,0.64529532,-1.620664447,-1.175029385,0.521140678,-1.183298345,2.358764371,0.575260575,1.184953464,0
2019/12/19,1.642911486,1.656443529,1.695866985,1.696484923,0.614356626,0.352343189,0.224161521,0.491028295,-1.209790441,2.519314547,0.603787809,1.255895001,1
2019/12/18,1.586163438,1.703581418,1.645511802,1.666916778,1.396991094,0.96165437,0.672200311,1.252476673,-1.204112167,2.48490539,0.595795475,1.263624344,1
2019/12/17,1.593565357,1.553707103,1.619075332,1.585604382,0.700342629,0.062195007,0.018075019,0.574701229,-1.188499847,2.390299626,0.594350175,1.262598734,1
2019/12/16,1.566424986,1.523490507,1.580050065,1.580676358,0.618838663,0.511924689,0.349443686,0.495347694,-1.187554119,2.384551821,0.544440311,1.209605086,1
2019/12/13,1.555322107,1.504151886,1.544801437,1.537556148,0.919312747,0.511924689,0.353413022,0.787709316,-1.179277049,2.334375036,0.486654982,1.154118744,1
2019/12/12,1.375208735,1.452179341,1.425207879,1.494435938,1.208344524,1.454906279,1.088555295,1.068963911,-1.170996071,2.284198252,0.432559571,1.135368483,1
2019/12/11,1.391246227,1.361529553,1.423949,1.371235337,-0.286403194,-0.329505038,-0.278278435,-0.385377807,-1.147345066,2.140813818,0.439598183,1.105731188,0
2019/12/10,1.340666445,1.35427757,1.384923733,1.399571475,0.16002724,0.700521007,0.514171126,0.048968637,-1.152784953,2.173747188,0.455969502,1.126767041,1
2019/12/9,1.381377002,1.310765672,1.405065806,1.340435187,-0.198443919,-0.445564311,-0.368474506,-0.299791997,-1.141428407,2.104928874,0.441853465,1.083851921,0
2019/12/6,1.387545268,1.330104294,1.398771408,1.378627373,-0.122271241,-0.053864266,-0.068541561,-0.225683448,-1.148763657,2.149357853,0.441452739,1.09009446,0
2019/12/5,1.293787622,1.336147613,1.347157346,1.383555397,0.554987895,1.12123587,0.85103307,0.433271757,-1.149709385,2.155105658,0.411625225,1.055330248,1
2019/12/4,1.185226138,1.233411187,1.255259138,1.288690935,0.087004404,0.744043234,0.565170004,-0.022054627,-1.131494359,2.044732267,0.370421282,0.988317165,1
2019/12/3,1.19756267,1.163308685,1.242670343,1.225858628,-0.382035982,0.149239462,0.091755816,-0.478430008,-1.119430471,1.971564262,0.363298004,0.99915287,1
2019/12/2,1.230871308,1.171769331,1.269106813,1.213538568,-0.405680833,-0.198938356,-0.185743292,-0.501446235,-1.117066152,1.957272423,0.343785072,0.977978602,0
2019/11/29,1.221002082,1.162100021,1.235117065,1.230786652,-0.311247381,0.091209825,0.045222441,-0.409381326,-1.12020034,1.976224645,0.335981051,0.961982014,1
2019/11/28,1.190160751,1.160891357,1.255259138,1.223394616,-0.326640799,0.279806143,0.196907777,-0.424314106,-1.118781749,1.967602937,0.346528945,0.957464896,1
2019/11/27,1.196329017,1.153639374,1.22252827,1.199986502,-0.223826291,0.091209825,0.045789489,-0.324289161,-1.114287589,1.940417373,0.35576611,0.954913986,1
2019/11/26,1.19756267,1.166934676,1.232599306,1.192594466,-0.280050885,-0.010342038,-0.035829981,-0.37902212,-1.112868997,1.931795665,0.363872754,0.918500025,0
2019/11/25,1.182758832,1.129466097,1.085310397,1.193826472,0.190788514,-0.416549493,-0.358941011,0.079266138,-1.113103475,1.93319378,0.352285831,0.917645853,0
2019/11/22,1.282684743,1.273297093,1.272883452,1.229554646,0.180126963,-0.561623584,-0.468735678,0.06889958,-1.119961954,1.97482653,0.368056595,0.979891502,0
2019/11/21,1.292553969,1.24066317,1.333309671,1.277602881,-0.144458625,-0.387534675,-0.329312754,-0.247033621,-1.129184752,2.030673446,0.421052196,1.004807688,0
2019/11/20,1.381377002,1.305931017,1.373593817,1.310867043,-0.183838716,-0.764727311,-0.613191152,-0.285352863,-1.135570367,2.069432294,0.429811433,1.004799008,0
2019/11/19,1.314759727,1.314391664,1.344639587,1.376163361,0.207249214,0.773058052,0.57480982,0.095247915,-1.148103211,2.145396528,0.455818297,1.036729064,1
2019/11/15,1.473900994,1.396580805,1.379888215,1.308403031,0.951165585,-2.070394128,-1.570687118,0.819302636,-1.135097503,2.066558391,0.364023533,0.953390102,0
2019/11/14,1.462798115,1.421962745,1.520882726,1.48457989,-0.18640338,0.308820962,0.204421163,-0.287821091,-1.168913125,2.271537546,0.405173307,1.01010576,1
2019/11/13,1.443059663,1.408667443,1.48059858,1.458707763,-0.32981966,0.105717234,0.052204219,-0.427399391,-1.163946102,2.241400406,0.383202278,0.97046042,1
2019/11/12,1.419620252,1.380868175,1.455420989,1.450083721,-0.167269677,0.17825428,0.107207874,-0.269247674,-1.162293032,2.231380584,0.382938682,0.964388942,1
2019/11/11,1.452928889,1.409876107,1.493187375,1.435299649,-0.113671898,-0.692190265,-0.54202663,-0.217044649,-1.15945585,2.214214842,0.376793226,0.975952952,0
2019/11/8,1.599733623,1.527116499,1.561166872,1.494435938,0.165180102,-0.692190265,-0.534548685,0.054337034,-1.170804581,2.283033156,0.459965029,1.05686687,0
