0,1
2010/2/4,-1
2010/2/5,1
2010/2/9,1
2010/2/18,1
2010/2/21,1
2010/2/24,4
2010/2/25,-1
2010/3/11,1
2010/3/25,1
2010/4/3,-1
2010/4/8,1
2010/4/9,2
2010/4/16,0
2010/4/28,-1
2010/4/30,-1
2010/5/10,1
2010/5/12,2
2010/5/13,-2
2010/5/17,1
2010/5/18,-1
2010/6/1,1
2010/6/2,-1
2010/6/4,1
2010/6/17,-1
2010/6/18,1
2010/6/19,1
2010/6/28,1
2010/7/5,0
2010/7/8,0
2010/7/16,1
2010/7/17,2
2010/7/22,1
2010/7/26,1
2010/7/29,1
2010/8/9,1
2010/8/13,0
2010/8/16,-1
2010/8/19,3
2010/8/20,0
2010/8/23,6
2010/9/1,2
2010/9/3,1
2010/9/7,-2
2010/9/11,1
2010/9/14,1
2010/9/16,1
2010/9/17,1
2010/9/19,1
2010/9/27,4
2010/9/28,1
2010/9/30,-1
2010/10/12,2
2010/10/13,1
2010/10/14,1
2010/10/27,1
2010/10/28,1
2010/11/2,-1
2010/11/12,1
2010/11/17,1
2010/11/18,1
2010/11/19,1
2010/11/22,1
2010/12/2,3
2010/12/3,1
2010/12/9,3
2010/12/13,1
2010/12/15,1
2010/12/17,1
2010/12/21,1
2010/12/22,-2
2010/12/23,2
2010/12/24,1
2010/12/28,3
2011/1/5,4
2011/1/7,2
2011/1/17,2
2011/1/20,1
2011/1/24,-1
2011/1/25,1
2011/1/26,1
2011/1/27,-1
2011/1/28,2
2011/2/1,-1
2011/2/10,1
2011/2/11,1
2011/2/12,1
2011/2/14,1
2011/2/15,2
2011/2/16,1
2011/2/18,1
2011/2/22,0
2011/2/25,-1
2011/3/7,2
2011/3/10,1
2011/3/11,2
2011/3/16,3
2011/3/17,2
2011/3/18,4
2011/3/21,1
2011/3/23,3
2011/3/31,1
2011/4/6,-2
2011/4/7,-1
2011/4/8,-1
2011/4/11,-1
2011/4/12,1
2011/4/13,0
2011/4/15,1
2011/4/18,1
2011/4/19,1
2011/4/20,3
2011/4/22,-1
2011/4/25,1
2011/4/26,1
2011/4/28,1
2011/4/29,-3
2011/5/3,0
2011/5/4,-2
2011/5/5,-1
2011/5/6,1
2011/5/7,-1
2011/5/13,2
2011/5/16,3
2011/5/17,1
2011/5/18,1
2011/5/19,3
2011/5/20,-1
2011/5/23,2
2011/5/25,1
2011/5/27,-1
2011/5/30,1
2011/5/31,-2
2011/6/1,0
2011/6/2,2
2011/6/3,1
2011/6/7,-1
2011/6/8,-3
2011/6/9,2
2011/6/13,1
2011/6/14,0
2011/6/15,1
2011/6/16,-1
2011/6/17,2
2011/6/21,0
2011/6/23,2
2011/6/24,3
2011/6/27,2
2011/6/28,13
2011/6/29,2
2011/6/30,1
2011/7/5,1
2011/7/7,1
2011/7/8,1
2011/7/11,4
2011/7/15,1
2011/7/20,3
2011/7/21,1
2011/7/22,2
2011/7/25,1
2011/7/26,1
2011/7/27,1
2011/7/28,1
2011/7/29,1
2011/8/3,-1
2011/8/10,1
2011/8/11,2
2011/8/12,-2
2011/8/15,0
2011/8/16,1
2011/8/24,2
2011/8/25,-1
2011/8/26,0
2011/8/29,1
2011/8/30,2
2011/8/31,3
2011/9/1,2
2011/9/2,1
2011/9/5,2
2011/9/6,1
2011/9/8,1
2011/9/9,0
2011/9/14,4
